Expression Name,Expression,Detailed Explanation
AI Agent: Prompt Gen: parameters.text,{{ $('Set personas').item.json.persona.income }},"Fetches data from the 'Set personas' node, specifically accessing the persona.income field"
AI Agent: Prompt Gen: parameters.text,{{ $('Set personas').item.json.persona.background }},"Fetches data from the 'Set personas' node, specifically accessing the persona.background field"
AI Agent: Prompt Gen: parameters.text,{{ $json.situation }},Retrieves the 'situation' field from the JSON data of the previous node
AI Agent: Prompt Gen: parameters.text,{{ $json.location }},Retrieves the 'location' field from the JSON data of the previous node
AI Agent: Prompt Gen: parameters.text,{{ $json.trigger }},Retrieves the 'trigger' field from the JSON data of the previous node
AI Agent: Prompt Gen: parameters.text,{{ $json.evaluation }},Retrieves the 'evaluation' field from the JSON data of the previous node
AI Agent: Prompt Gen: parameters.text,{{ $json.conclusion }},Retrieves the 'conclusion' field from the JSON data of the previous node
AI Agent: Prompt Gen: parameters.text,"=You are a director of a qualitative research agency that specialises in creating realistic simulated testimonials that capture buying situations for new product concepts.  

Your tasks are to:
1. Take the persona and their buying situation.
2. Craft:
   - A single vivid **persona description**
   - A **scene appearance** that is realistic and convincing considering the persona background
   - A **short 6–8 second quote** that captures the emotion/reason for choosing the product
3. Assemble a **final prompt string** that combines these elements into a realistic video reaction setup.

Respond only with a valid JSON object (no Markdown, no commentary).  

The JSON must have:  
- `""scene_description.persona""` (character-based background)  
- `""scene_description.appearance""` (physical/behavioral detail in the scene)  
- `""quote""` (the 6–8 second soundbite)  
- `""prompt_string""` (a single ready-to-use string in this format:  
  `The subject is [persona]. [appearance]. The subject looks directly into the phone camera, engaging with the viewer as if filming a personal story or reaction video. The lighting is natural and imperfect. They say: ""[quote]""`)

Persona
Name: {{ $('Set personas').item.json.persona.name }}
Age: {{ $('Set personas').item.json.persona.age }}
Gender: {{ $('Set personas').item.json.persona.gender }}
Location: {{ $('Set personas').item.json.persona.location }}
Occupation: {{ $('Set personas').item.json.persona.occupation }}
Income: {{ $('Set personas').item.json.persona.income }}
Background: {{ $('Set personas').item.json.persona.background }}

Buying Situation
Situation: {{ $json.situation }}
Location: {{ $json.location }}
Trigger: {{ $json.trigger }}
Evaluation: {{ $json.evaluation }}
Conclusion: {{ $json.conclusion }} ","Dynamic expression in agent node: You are a director of a qualitative research agency that specialises in creating realistic simulated testimonials that capture buying situations for new product concepts.  

Your tasks are to:
1. Take the persona and their buying situation.
2. Craft:
   - A single vivid **persona description**
   - A **scene appearance** that is realistic and convincing considering the persona background
   - A **short 6–8 second quote** that captures the emotion/reason for choosing the product
3. Assemble a **final prompt string** that combines these elements into a realistic video reaction setup.

Respond only with a valid JSON object (no Markdown, no commentary).  

The JSON must have:  
- `""scene_description.persona""` (character-based background)  
- `""scene_description.appearance""` (physical/behavioral detail in the scene)  
- `""quote""` (the 6–8 second soundbite)  
- `""prompt_string""` (a single ready-to-use string in this format:  
  `The subject is [persona]. [appearance]. The subject looks directly into the phone camera, engaging with the viewer as if filming a personal story or reaction video. The lighting is natural and imperfect. They say: ""[quote]""`)

Persona
Name: {{ $('Set personas').item.json.persona.name }}
Age: {{ $('Set personas').item.json.persona.age }}
Gender: {{ $('Set personas').item.json.persona.gender }}
Location: {{ $('Set personas').item.json.persona.location }}
Occupation: {{ $('Set personas').item.json.persona.occupation }}
Income: {{ $('Set personas').item.json.persona.income }}
Background: {{ $('Set personas').item.json.persona.background }}

Buying Situation
Situation: {{ $json.situation }}
Location: {{ $json.location }}
Trigger: {{ $json.trigger }}
Evaluation: {{ $json.evaluation }}
Conclusion: {{ $json.conclusion }}"
set prompt: parameters.assignments.assignments[0].value,{{ $json.output.prompt.prompt_string }},Retrieves the 'prompt_string' field from the JSON data of the previous node
set prompt: parameters.assignments.assignments[0].value,={{ $json.output.prompt.prompt_string }},Retrieves the 'prompt_string }}' field from the JSON data of the previous node
